sample_id,group,mean_expression,median_expression,sd_expression
GSM1045289_T51_7_12_04.CEL,Tumor,5.636149442912079,5.39396499444715,1.7804693424584361
GSM1045290_T52_15_12_04.CEL,Tumor,5.646473865549545,5.39007353890636,1.7664869397625098
GSM1045291_T56_15_12_04.CEL,Tumor,5.619541612209036,5.34345119653507,1.8105209083467966
GSM1045292_T62_26_1_05.CEL,Tumor,5.6104088688794755,5.37716762407445,1.7464130633768131
GSM1045293_T63_22_12_04.CEL,Tumor,5.5286331499705295,5.30167887545772,1.6580282615789979
GSM1045294_T65_20_12_04.CEL,Tumor,5.549274514366739,5.28492055771341,1.756712453427909
GSM1045295_T66_25_1_05.CEL,Tumor,5.579506917225574,5.34024726166449,1.6890702606811592
GSM1045296_T67_7_12_04.CEL,Tumor,5.678081209375953,5.40159088881901,1.8538074297264235
GSM1045297_T69_15_12_04.CEL,Tumor,5.609899885515708,5.35312440092174,1.8056027981592357
GSM1045298_T70_21_12_04.CEL,Tumor,5.7350971455575035,5.48069821902254,1.8694630948895286
GSM1045299_T71_14_12_04.CEL,Tumor,5.555663787997108,5.32778169196411,1.6799643920649494
GSM1045300_T72_14_12_04.CEL,Tumor,5.522994466477129,5.29605824248938,1.681064275066407
GSM1045301_T73_15_12_04.CEL,Tumor,5.377745550861161,5.20951974385321,1.4031400563244536
GSM1045302_T75.CEL,Tumor,5.310201711144127,5.17653604663716,1.330008140020055
GSM1045303_T80_14_12_04.CEL,Tumor,5.572787807267636,5.3247249150597,1.7166239012061788
GSM1045304_T81_10_12_04.CEL,Tumor,5.6367626639533635,5.39479563595615,1.7736835533442143
GSM1045305_T82_15_12_04.CEL,Tumor,5.557525662969549,5.28096224827111,1.7343537848424277
GSM1045306_T83_8_12_04.CEL,Tumor,5.583546400619243,5.28554842494211,1.7181272888839807
GSM1045307_T94_9_12_04.CEL,Tumor,5.6458252765863515,5.41394727752724,1.7757926664287473
GSM1045308_T97_3_12_04.CEL,Tumor,5.587601138415748,5.34327934549015,1.8000092075939513
GSM1045309_T98_22_12_04.CEL,Tumor,5.521161543285068,5.26369246991992,1.6487521228699618
GSM1045310_T99_20_12_04.CEL,Tumor,5.6748324763683895,5.39747369432265,1.8549793516728212
GSM1045311_T9A_9_12_04.CEL,Tumor,5.658537126455545,5.41879665997274,1.8120092161146526
