probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr,abs_diff
gene_9734,3.5946438210184586,4.201749359912654,-0.6071055388941953,-7.450217167371013,1.0925403897596882e-07,1.3232808984558677e-06,9734,HDAC9,5.878347956492398,0.6071055388941953
gene_23682,5.940822411313165,4.979695851335585,0.96112655997758,6.0064217025696065,1.1184323341785593e-07,1.3509533364133156e-06,23682,RAB38,5.869359651783447,0.96112655997758
gene_64787,4.982558712347629,4.380951201983946,0.6016075103636833,7.6084690459263635,1.1188090186327826e-07,1.3509533364133156e-06,64787,EPS8L2,5.869359651783447,0.6016075103636833
gene_55930,8.127883336780497,6.501516558936588,1.6263667778439093,7.361740106230699,1.127318094569947e-07,1.359149769896011e-06,55930,MYO5C,5.866732684065501,1.6263667778439093
gene_9467,7.998388281862716,9.140647134409585,-1.1422588525468695,-6.989150957882606,1.1324284965632464e-07,1.363229853256091e-06,9467,SH3BP5,5.865430911894845,1.1422588525468695
gene_8772,6.468908491884826,5.782228008404225,0.6866804834806013,6.112339840175425,1.197253305648207e-07,1.4390729611421446e-06,8772,FADD,5.8419171867318065,0.6866804834806013
gene_33,3.2541866511987294,6.2587115765288885,-3.004524925330159,-8.893859344762086,1.2164096945470543e-07,1.4598764981516853e-06,33,ACADL,5.835683882873033,3.004524925330159
gene_2869,5.593797223787403,6.053936021335714,-0.46013879754831066,-7.112009451350005,1.222867999269731e-07,1.4654003930550936e-06,2869,GRK5,5.834043696308932,0.46013879754831066
gene_1663,5.114834643107839,4.615220549551644,0.499614093556195,6.834539550897552,1.2481294937521275e-07,1.4934058503273562e-06,1663,DDX11,5.825822151681988,0.499614093556195
gene_762,3.804567817028117,5.964269070315758,-2.159701253287641,-8.714923153178415,1.25646486953482e-07,1.5011048524533241e-06,762,CA4,5.823588971146818,2.159701253287641
gene_1756,4.273294448855026,5.569095123805547,-1.295800674950521,-7.566916335448758,1.2584566915064957e-07,1.501213367496495e-06,1756,DMD,5.823557577083284,1.295800674950521
gene_259266,5.101552276361785,3.5948132342867285,1.5067390420750564,7.271081385222013,1.2616793630045524e-07,1.5027876213645477e-06,259266,ASPM,5.823102390927798,1.5067390420750564
gene_9370,5.988037793296151,10.858648272699511,-4.870610479403361,-7.8626837205452285,1.273478201262238e-07,1.5145568306276948e-06,9370,ADIPOQ,5.8197144260188445,4.870610479403361
gene_2791,5.1515160946083585,7.285326015551003,-2.133809920942644,-8.423344582797638,1.2849965575724572e-07,1.5251435204621502e-06,2791,GNG11,5.816689286014287,2.133809920942644
gene_29882,5.867339579277316,5.244455862476105,0.6228837168012111,6.7159354687165385,1.2862423510545677e-07,1.5251435204621502e-06,29882,ANAPC2,5.816689286014287,0.6228837168012111
gene_274,6.15133396368963,7.754999480007818,-1.6036655163181885,-7.906845034220619,1.299718306114944e-07,1.5388119135516811e-06,274,BIN1,5.812814460024615,1.6036655163181885
gene_7706,6.983752040005575,6.38701077660739,0.5967412633981848,7.463154864214706,1.3125040885077732e-07,1.5453163317521425e-06,7706,TRIM25,5.810982605512776,0.5967412633981848
gene_634,5.120874345543752,4.599004522143794,0.5218698233999586,6.419865042792339,1.313039456256411e-07,1.5453163317521425e-06,634,CEACAM1,5.810982605512776,0.5218698233999586
gene_1770,3.6091630177642493,4.032783351156234,-0.4236203333919848,-7.663993038916811,1.3090155453916917e-07,1.5453163317521425e-06,1770,DNAH9,5.810982605512776,0.4236203333919848
gene_10607,6.112134551163008,5.748417005860319,0.3637175453026886,6.633832727067516,1.3100420355631077e-07,1.5453163317521425e-06,10607,TBL3,5.810982605512776,0.3637175453026886
gene_3745,3.709860480426279,5.173322401189516,-1.463461920763237,-8.372506110690647,1.3283256908067855e-07,1.5600810829878014e-06,3745,KCNB1,5.80685282922306,1.463461920763237
gene_51588,6.143309610449345,5.414530510234108,0.7287791002152364,7.339838556360032,1.329535986894758e-07,1.5600810829878014e-06,51588,PIAS4,5.80685282922306,0.7287791002152364
gene_8861,6.919961175597224,6.290809185585452,0.6291519900117715,7.331122340075143,1.3485867353580714e-07,1.5800874553594497e-06,8861,LDB1,5.801318874862731,0.6291519900117715
gene_5465,3.646513761790275,4.069029912918502,-0.42251615112822716,-7.601108280465698,1.3506782578272324e-07,1.5801935114165414e-06,5465,PPARA,5.8012897258339775,0.42251615112822716
gene_30846,6.582170807795717,7.73928512538355,-1.1571143175878333,-8.259073799687798,1.3675318063107515e-07,1.5928316628961658e-06,30846,EHD2,5.797830119828706,1.1571143175878333
gene_35,5.7065147985955935,6.7670122091163805,-1.060497410520787,-8.064756808381393,1.3640383429006166e-07,1.5928316628961658e-06,35,ACADS,5.797830119828706,1.060497410520787
gene_9948,6.219554788196865,5.868386967855296,0.3511678203415691,6.463372745129193,1.367068586467184e-07,1.5928316628961658e-06,9948,WDR1,5.797830119828706,0.3511678203415691
gene_5025,6.006996826244874,5.200820023109989,0.8061768031348855,6.38731363257678,1.388396614999343e-07,1.6147522928792066e-06,5025,P2RX4,5.7918940901047815,0.8061768031348855
gene_55740,6.041180588286304,5.42126736005262,0.6199132282336839,6.405100745083656,1.3972229282404986e-07,1.6226278623992966e-06,55740,ENAH,5.789781070955001,0.6199132282336839
gene_9754,5.425046439950225,6.161498687223583,-0.7364522472733581,-7.752674746502436,1.422243890630299e-07,1.6492599125267947e-06,9754,STARD8,5.782710897004822,0.7364522472733581
gene_1346,7.325486329422115,10.55725804522143,-3.231771715799314,-8.169194190728138,1.4317179723312886e-07,1.6578118515396167e-06,1346,COX7A1,5.780464759958706,3.231771715799314
gene_3790,6.931799741704678,5.827099852598563,1.104699889106115,6.64583665167492,1.4399202635131316e-07,1.6624342574507603e-06,3790,KCNS3,5.779255520275026,1.104699889106115
