probe_id,mean_tumor,mean_normal,mean_difference_tumor_minus_normal,t_statistic,p_value,fdr_bh,entrez_id,gene_symbol,minus_log10_fdr
gene_6659,7.483548399395763,5.897534249439504,1.5860141499562594,10.861663678236475,5.830433589928086e-10,1.664892957882808e-08,6659,SOX4,7.778613683656299
gene_2146,6.912162809824511,4.192060440131971,2.7201023696925395,10.326336346249724,6.618959060093429e-10,1.8667828463413502e-08,2146,EZH2,7.728906198451936
gene_11065,7.989546456137759,5.936031268068737,2.0535151880690226,9.592514752150647,7.022217329417688e-10,1.9488664924596984e-08,11065,UBE2C,7.71021791130517
gene_8140,7.450329290401482,5.701043698865942,1.74928559153554,7.966231473219118,7.731337784681493e-10,2.127330121450514e-08,8140,SLC7A5,7.67216511056761
gene_3480,5.931001650687365,4.742170539472449,1.188831111214916,7.504155165185583,7.895386911084907e-10,2.1649260568346357e-08,3480,IGF1R,7.6645569324085825
gene_7148,5.012544735921636,6.1019919966292635,-1.0894472607076278,-10.71263796140429,8.458146758832745e-10,2.3021777889745475e-08,7148,TNXB,7.6378611403982
gene_22883,8.024181668879999,6.679549575347101,1.3446320935328977,9.556334808603136,8.700809081065971e-10,2.353092099766369e-08,22883,CLSTN1,7.628361074252988
gene_10840,5.020239896277414,6.3584100544039925,-1.3381701581265784,-11.790991449356437,8.947667922128071e-10,2.411595002766054e-08,10840,ALDH1L1,7.617695624737593
gene_1040,5.6757233711238015,4.199188385515534,1.476534985608268,10.278467720662455,9.960916473346023e-10,2.617910683958385e-08,1040,CDS1,7.582045174487214
gene_10635,5.97640431122491,4.453678209209919,1.5227261020149916,8.12413623702785,9.97836033774185e-10,2.617910683958385e-08,10635,RAD51AP1,7.582045174487214
gene_1196,8.375692173754599,7.364769969337118,1.010922204417481,9.09138320766252,1.010500121179188e-09,2.633636784472623e-08,1196,CLK2,7.579444120557316
gene_23464,7.492122921243073,6.396759669521776,1.095363251721297,8.601833750151362,1.067338135728622e-09,2.7726214663976738e-08,23464,GCAT,7.557109418657355
gene_1942,9.049934572019993,6.845754043583902,2.2041805284360905,9.886116573442697,1.1075300250278741e-09,2.8582237279886023e-08,1942,EFNA1,7.543903779733978
gene_24137,5.475511543728738,3.7653322272476384,1.7101793164810992,8.666965957084708,1.2281078709180816e-09,3.1285057602064805e-08,24137,KIF4A,7.504663041062491
gene_83481,6.893665307801492,4.687312680973882,2.20635262682761,9.999169665153943,1.2737703073380602e-09,3.234393606768059e-08,83481,EPPK1,7.4902071301174
gene_153,3.315992556574895,4.850202467999992,-1.5342099114250969,-11.012814409125172,1.321990036720459e-09,3.343413085349096e-08,153,ADRB1,7.47580996214373
gene_4171,7.439350399455987,5.641846523259223,1.7975038761967639,9.363596162041334,1.325171958609937e-09,3.343413085349096e-08,4171,MCM2,7.47580996214373
gene_7162,6.822151093641962,5.495421587227514,1.3267295064144475,8.474040933957872,1.4603556477349102e-09,3.5848247478587585e-08,7162,TPBG,7.445532070930151
gene_7481,5.105250554718991,6.744419723745104,-1.639169169026113,-9.979563265917008,1.4617114965309867e-09,3.5848247478587585e-08,7481,WNT11,7.445532070930151
gene_9368,8.652175409650665,6.994733874846303,1.657441534804362,8.572722756885335,1.4747315296924447e-09,3.605558789467875e-08,9368,NHERF1,7.443027418773605
gene_4192,7.107738784016362,5.478061623459593,1.6296771605567697,8.166984029510875,1.480098770423234e-09,3.607512342602555e-08,4192,MDK,7.442792174353661
gene_10551,8.100547452240349,5.2021554328669986,2.8983920193733503,8.081641171803463,1.4883034480521272e-09,3.6163484090054306e-08,10551,AGR2,7.441729735049728
gene_2161,5.17199732227671,4.114639031710401,1.0573582905663095,8.87654417226933,1.5153476712010293e-09,3.668199678163017e-08,2161,F12,7.435547031572344
gene_10529,5.495637707299157,4.388238685077262,1.1073990222218955,8.958889814120653,1.5189328792697309e-09,3.668199678163017e-08,10529,NEBL,7.435547031572344
gene_4602,5.190407824157955,3.536552904474671,1.6538549196832837,8.947203614417797,1.5709611752579878e-09,3.751598424277187e-08,4602,MYB,7.425783655222147
gene_537,8.697822310594953,7.324365559410741,1.3734567511842117,8.228404317591592,1.8267578405243766e-09,4.268019723852367e-08,537,ATP6AP1,7.369773582232466
gene_8671,3.570951658174112,4.651464120653459,-1.0805124624793465,-8.111141177208113,1.8456061641229573e-09,4.299336837191444e-08,8671,SLC4A4,7.366598528178437
gene_191,8.356367476271261,7.142287515979361,1.2140799602919001,8.212166400284246,1.8614031025178304e-09,4.3233824413480316e-08,191,AHCY,7.364176345585773
gene_6278,5.301049238616424,3.4932613512595023,1.807787887356922,6.563474700993583,2.0498310950599625e-09,4.692033668895224e-08,6278,S100A7,7.328638880153494
gene_10053,7.657475046202708,5.289282444891715,2.3681926013109935,9.510800325119773,2.0960193748516714e-09,4.7701051882431266e-08,10053,AP1M2,7.3214720439850725
gene_57111,7.82234929171227,4.5171945436343615,3.305154748077909,10.03172713514481,2.239001213529767e-09,5.066301599783545e-08,57111,RAB25,7.2953089599811385
gene_9254,6.114106809454227,5.086174670442458,1.027932139011769,6.7143183627751455,2.3404850118160568e-09,5.2808028966604004e-08,9254,CACNA2D2,7.277300042034368
gene_3665,7.513626216403069,5.909296767415086,1.6043294489879836,8.41751748283069,2.7483498396052632e-09,6.113723572778244e-08,3665,IRF7,7.21369420145079
gene_79056,6.135603973312306,5.062327854894494,1.0732761184178123,8.212565410178259,2.7983358973886235e-09,6.207432185864596e-08,79056,PRRG4,7.207088016270486
gene_3070,4.641653367078192,3.344914913161845,1.2967384539163467,8.651461644668583,2.8807672490004086e-09,6.336885505670258e-08,3070,HELLS,7.198124139601101
gene_55862,6.329718105687873,8.382635974707451,-2.052917869019578,-9.49298346827132,3.018837435645756e-09,6.58556884787142e-08,55862,ECHDC1,7.181406705619196
